timestamp,event_type,content
1733328627.776094,command_sent,"<090,035,160,090,120>"
1733328713.03533,command_sent,"<090,035,160,090,120>"
1733328799.455594,feedback_received,Nano_Servo5_FB: 402
1733328799.4575622,feedback_received,"Nano_Current: 527,533,531,531,532"
1733328799.505761,feedback_received,Nano_Servo5_FB: 401
1733328799.50631,feedback_received,"Nano_Current: 526,532,530,530,532"
1733328799.554904,feedback_received,Nano_Servo5_FB: 402
1733328799.55549,feedback_received,"Nano_Current: 528,533,532,531,532"
1733328799.605854,feedback_received,"Uno_FB: 342,218,215,339"
1733328799.606536,feedback_received,"Uno_FB: 341,219,215,340"
1733328799.606808,feedback_received,Nano_Servo5_FB: 402
1733328799.607266,feedback_received,"Nano_Current: 528,534,532,531,533"
1733328799.655877,feedback_received,"Uno_FB: 341,219,215,340"
1733328799.656363,feedback_received,Nano_Servo5_FB: 402
1733328799.65679,feedback_received,"Nano_Current: 528,533,531,531,531"
1733328799.704983,feedback_received,"Uno_FB: 342,218,215,340"
1733328799.705473,feedback_received,"Uno_FB: 342,219,215,340"
1733328799.705657,feedback_received,Nano_Servo5_FB: 402
1733328799.705976,feedback_received,"Nano_Current: 528,535,532,531,533"
1733328799.755209,feedback_received,"Uno_FB: 341,219,215,339"
1733328799.755628,feedback_received,Nano_Servo5_FB: 402
1733328799.756085,feedback_received,"Nano_Current: 528,534,532,532,533"
1733328799.805266,feedback_received,"Uno_FB: 342,218,215,340"
1733328799.805769,feedback_received,"Uno_FB: 341,219,214,340"
1733328799.805962,feedback_received,Nano_Servo5_FB: 402
1733328799.806308,feedback_received,"Nano_Current: 527,533,532,531,533"
1733328799.855057,feedback_received,"Uno_FB: 342,219,215,340"
1733328799.855405,feedback_received,Nano_Servo5_FB: 402
1733328799.8557591,feedback_received,"Nano_Current: 527,533,530,531,533"
1733328799.905031,feedback_received,"Uno_FB: 342,218,215,339"
1733328799.905361,feedback_received,Nano_Servo5_FB: 402
1733328799.905717,feedback_received,"Nano_Current: 527,534,532,531,533"
1733328799.955057,feedback_received,"Uno_FB: 341,219,215,340"
1733328799.9555578,feedback_received,"Uno_FB: 341,218,215,339"
1733328799.955758,feedback_received,Nano_Servo5_FB: 402
1733328799.95611,feedback_received,"Nano_Current: 526,534,531,531,533"
1733328800.0050519,feedback_received,"Uno_FB: 341,219,215,340"
1733328800.005397,feedback_received,Nano_Servo5_FB: 402
1733328800.0058858,feedback_received,"Nano_Current: 528,534,533,532,533"
1733328800.055778,feedback_received,"Uno_FB: 342,219,215,339"
1733328800.056331,feedback_received,"Uno_FB: 341,219,215,339"
1733328800.056581,feedback_received,Nano_Servo5_FB: 402
1733328800.0569332,feedback_received,"Nano_Current: 526,534,532,531,533"
1733328800.105104,feedback_received,"Uno_FB: 342,219,215,339"
1733328800.105459,feedback_received,Nano_Servo5_FB: 402
1733328800.105812,feedback_received,"Nano_Current: 528,533,532,532,533"
1733328800.155052,feedback_received,"Uno_FB: 341,219,215,340"
1733328800.155526,feedback_received,"Uno_FB: 341,219,215,339"
1733328800.155715,feedback_received,Nano_Servo5_FB: 402
1733328800.156053,feedback_received,"Nano_Current: 527,533,531,531,533"
1733328800.20517,feedback_received,"Uno_FB: 341,219,215,340"
1733328800.205591,feedback_received,Nano_Servo5_FB: 402
1733328800.205952,feedback_received,"Nano_Current: 528,533,532,531,533"
1733328800.255075,feedback_received,"Uno_FB: 341,219,215,339"
1733328800.255573,feedback_received,"Uno_FB: 342,218,215,339"
1733328800.255776,feedback_received,Nano_Servo5_FB: 402
1733328800.256119,feedback_received,"Nano_Current: 528,534,531,531,533"
1733328800.305195,feedback_received,"Uno_FB: 341,219,215,340"
1733328800.305574,feedback_received,Nano_Servo5_FB: 402
1733328800.305928,feedback_received,"Nano_Current: 528,534,532,531,533"
1733328800.355057,feedback_received,"Uno_FB: 341,219,215,339"
1733328800.355647,feedback_received,"Uno_FB: 342,219,215,340"
1733328800.355865,feedback_received,Nano_Servo5_FB: 402
1733328800.35695,feedback_received,"Nano_Current: 528,533,531,531,533"
1733328800.405635,feedback_received,"Uno_FB: 341,219,215,340"
1733328800.4060318,feedback_received,Nano_Servo5_FB: 402
1733328800.4064052,feedback_received,"Nano_Current: 527,534,533,531,533"
1733328800.4547179,feedback_received,"Uno_FB: 342,219,215,339"
1733328800.4552488,feedback_received,"Uno_FB: 341,219,215,340"
1733328800.455464,feedback_received,Nano_Servo5_FB: 402
1733328800.455816,feedback_received,"Nano_Current: 527,533,531,531,533"
1733328800.505041,feedback_received,"Uno_FB: 342,219,215,340"
1733328800.5054138,feedback_received,Nano_Servo5_FB: 402
1733328800.505773,feedback_received,"Nano_Current: 527,533,532,532,534"
1733328800.5551,feedback_received,"Uno_FB: 342,219,215,340"
1733328800.555655,feedback_received,"Uno_FB: 342,218,215,340"
1733328800.555875,feedback_received,Nano_Servo5_FB: 402
1733328800.564647,feedback_received,"Nano_Current: 527,534,531,531,533"
1733328800.605237,feedback_received,"Uno_FB: 341,218,215,340"
1733328800.6557598,feedback_received,"Uno_FB: 342,219,215,339"
1733328800.656298,feedback_received,"Uno_FB: 342,219,216,340"
1733328800.656511,feedback_received,Nano_Servo5_FB: 402
1733328800.656854,feedback_received,"Nano_Current: 528,533,533,531,533"
1733328800.705276,feedback_received,"Uno_FB: 342,219,215,339"
1733328800.705701,feedback_received,Nano_Servo5_FB: 402
1733328800.706063,feedback_received,"Nano_Current: 527,533,531,531,533"
1733328800.754462,feedback_received,"Uno_FB: 342,219,215,339"
1733328800.754932,feedback_received,Nano_Servo5_FB: 403
1733328800.755316,feedback_received,"Nano_Current: 528,534,532,531,533"
1733328800.80565,feedback_received,"Uno_FB: 342,219,215,340"
