timestamp,servo_name,input_pwm,output_voltage
2024-11-29 14:53:51.271848,elbow,428,
2024-11-29 14:53:51.319334,elbow,425,
2024-11-29 14:53:51.340544,elbow,423,
2024-11-29 14:53:51.356727,elbow,421,
2024-11-29 14:53:51.555973,elbow,423,
2024-11-29 14:53:51.586719,elbow,425,
2024-11-29 14:53:51.606352,elbow,427,
2024-11-29 14:53:51.630753,elbow,428,
2024-11-29 14:53:51.646553,elbow,430,
2024-11-29 14:54:01.322968,elbow,423,
2024-11-29 14:54:01.583490,elbow,427,
2024-11-29 14:54:01.633378,elbow,423,
2024-11-29 14:54:01.653878,elbow,421,
2024-11-29 14:54:01.670383,elbow,419,
2024-11-29 14:54:01.685471,elbow,417,
2024-11-29 14:54:01.698284,elbow,416,
2024-11-29 14:54:01.719435,elbow,413,
2024-11-29 14:54:01.734136,elbow,412,
2024-11-29 14:54:01.748065,elbow,410,
2024-11-29 14:54:01.765823,elbow,409,
2024-11-29 14:54:01.780212,elbow,408,
2024-11-29 14:54:01.793519,elbow,404,
2024-11-29 14:54:01.807070,elbow,402,
2024-11-29 14:54:01.830275,elbow,401,
2024-11-29 14:54:01.845294,elbow,399,
2024-11-29 14:54:01.859185,elbow,398,
2024-11-29 14:54:01.872488,elbow,397,
2024-11-29 14:54:01.886011,elbow,394,
2024-11-29 14:54:01.906826,elbow,393,
2024-11-29 14:54:01.921964,elbow,391,
2024-11-29 14:54:01.951727,elbow,390,
2024-11-29 14:54:01.976541,elbow,389,
2024-11-29 14:54:02.001167,elbow,387,
2024-11-29 14:54:02.025579,elbow,384,
2024-11-29 14:54:02.055009,elbow,383,
2024-11-29 14:54:02.098220,elbow,382,
2024-11-29 14:54:02.114722,elbow,380,
2024-11-29 14:54:02.142731,elbow,379,
2024-11-29 14:54:02.176199,elbow,378,
2024-11-29 14:54:02.200932,elbow,375,
2024-11-29 14:54:02.227015,elbow,373,
2024-11-29 14:54:02.256907,elbow,372,
2024-11-29 14:54:02.281310,elbow,371,
2024-11-29 14:54:02.305935,elbow,369,
2024-11-29 14:54:02.321901,elbow,368,
2024-11-29 14:54:02.335845,elbow,365,
2024-11-29 14:54:02.361865,elbow,364,
2024-11-29 14:54:02.384146,elbow,363,
2024-11-29 14:54:02.409044,elbow,361,
2024-11-29 14:54:02.436901,elbow,360,
2024-11-29 14:54:02.462381,elbow,358,
2024-11-29 14:54:02.505379,elbow,356,
2024-11-29 14:54:02.546056,elbow,354,
2024-11-29 14:54:02.588432,elbow,353,
2024-11-29 14:54:02.614299,elbow,352,
2024-11-29 14:54:02.648932,elbow,350,
2024-11-29 14:54:02.676177,elbow,349,
2024-11-29 14:54:02.699944,elbow,346,
2024-11-29 14:54:02.715857,elbow,345,
2024-11-29 14:54:02.745940,elbow,343,
2024-11-29 14:54:02.771728,elbow,342,
2024-11-29 14:54:02.788311,elbow,341,
2024-11-29 14:54:02.814094,elbow,339,
2024-11-29 14:54:02.828639,elbow,338,
2024-11-29 14:54:02.843175,elbow,335,
2024-11-29 14:54:02.857044,elbow,334,
2024-11-29 14:54:02.876675,elbow,332,
2024-11-29 14:54:02.899101,elbow,331,
2024-11-29 14:54:02.917570,elbow,330,
2024-11-29 14:54:02.935610,elbow,328,
2024-11-29 14:54:02.953841,elbow,326,
2024-11-29 14:54:02.976561,elbow,324,
2024-11-29 14:54:03.002027,elbow,323,
2024-11-29 14:54:03.027991,elbow,322,
2024-11-29 14:54:03.056907,elbow,320,
2024-11-29 14:54:03.073832,elbow,319,
2024-11-29 14:54:03.097670,elbow,316,
2024-11-29 14:54:03.123634,elbow,315,
2024-11-29 14:54:03.159058,elbow,313,
2024-11-29 14:54:03.184026,elbow,312,
2024-11-29 14:54:03.237210,elbow,311,
2024-11-29 14:54:03.279611,elbow,309,
2024-11-29 14:54:03.305904,elbow,307,
2024-11-29 14:54:03.329569,elbow,305,
2024-11-29 14:54:03.345979,elbow,304,
2024-11-29 14:54:03.365877,elbow,302,
2024-11-29 14:54:03.384210,elbow,301,
2024-11-29 14:54:03.408066,elbow,300,
2024-11-29 14:54:03.423580,elbow,297,
2024-11-29 14:54:03.438119,elbow,294,
2024-11-29 14:54:03.462699,elbow,293,
2024-11-29 14:54:03.478711,elbow,291,
2024-11-29 14:54:03.493118,elbow,287,
2024-11-29 14:54:03.514767,elbow,286,
2024-11-29 14:54:03.535969,elbow,285,
2024-11-29 14:54:03.551524,elbow,283,
2024-11-29 14:54:03.565725,elbow,282,
2024-11-29 14:54:03.579271,elbow,281,
2024-11-29 14:54:03.593162,elbow,278,
2024-11-29 14:54:03.614020,elbow,276,
2024-11-29 14:54:03.628760,elbow,275,
2024-11-29 14:54:03.642880,elbow,274,
2024-11-29 14:54:03.663029,elbow,272,
2024-11-29 14:54:03.678031,elbow,271,
2024-11-29 14:54:03.699258,elbow,268,
2024-11-29 14:54:03.723364,elbow,267,
2024-11-29 14:54:03.764441,elbow,266,
2024-11-29 14:54:03.798238,elbow,264,
2024-11-29 14:54:03.831147,elbow,263,
2024-11-29 14:54:03.867611,elbow,261,
2024-11-29 14:54:03.905648,elbow,259,
2024-11-29 14:54:03.934189,elbow,257,
2024-11-29 14:54:03.960784,elbow,256,
2024-11-29 14:54:03.976740,elbow,255,
2024-11-29 14:54:04.001114,elbow,253,
2024-11-29 14:54:04.028216,elbow,252,
2024-11-29 14:54:04.050981,elbow,249,
2024-11-29 14:54:04.076546,elbow,248,
2024-11-29 14:54:04.102898,elbow,246,
2024-11-29 14:54:04.117666,elbow,245,
2024-11-29 14:54:05.729314,elbow,246,
2024-11-29 14:54:05.783629,elbow,248,
2024-11-29 14:54:05.965678,elbow,249,
2024-11-29 14:54:28.511607,elbow,257,
2024-11-29 14:54:28.712932,elbow,255,
2024-11-29 14:54:28.739694,elbow,256,
2024-11-29 14:54:28.758312,elbow,257,
2024-11-29 14:54:28.773746,elbow,259,
2024-11-29 14:54:28.788074,elbow,263,
2024-11-29 14:54:28.810444,elbow,266,
2024-11-29 14:54:28.825646,elbow,267,
2024-11-29 14:54:28.840189,elbow,268,
2024-11-29 14:54:28.855662,elbow,271,
2024-11-29 14:54:28.869676,elbow,272,
2024-11-29 14:54:28.884199,elbow,274,
2024-11-29 14:54:28.904965,elbow,275,
2024-11-29 14:54:28.920076,elbow,276,
2024-11-29 14:54:28.933966,elbow,278,
2024-11-29 14:54:28.947974,elbow,281,
2024-11-29 14:54:28.961947,elbow,282,
2024-11-29 14:54:28.975144,elbow,283,
2024-11-29 14:54:28.988575,elbow,285,
2024-11-29 14:54:29.009425,elbow,287,
2024-11-29 14:54:29.023940,elbow,290,
2024-11-29 14:54:29.038136,elbow,291,
2024-11-29 14:54:29.051993,elbow,293,
2024-11-29 14:54:29.066026,elbow,294,
2024-11-29 14:54:29.080195,elbow,296,
2024-11-29 14:54:29.102406,elbow,297,
2024-11-29 14:54:29.117190,elbow,300,
2024-11-29 14:54:29.130851,elbow,301,
2024-11-29 14:54:29.146336,elbow,302,
2024-11-29 14:54:29.166515,elbow,304,
2024-11-29 14:54:29.180902,elbow,305,
2024-11-29 14:54:29.195356,elbow,307,
2024-11-29 14:54:29.216352,elbow,309,
2024-11-29 14:54:29.231039,elbow,311,
2024-11-29 14:54:29.245107,elbow,312,
2024-11-29 14:54:29.259089,elbow,313,
2024-11-29 14:54:29.273739,elbow,315,
2024-11-29 14:54:29.297762,elbow,316,
2024-11-29 14:54:29.328385,elbow,319,
2024-11-29 14:54:29.358680,elbow,320,
2024-11-29 14:54:29.388888,elbow,322,
2024-11-29 14:54:29.425625,elbow,323,
2024-11-29 14:54:29.455603,elbow,324,
2024-11-29 14:54:29.481145,elbow,326,
2024-11-29 14:54:29.505118,elbow,328,
2024-11-29 14:54:29.519660,elbow,330,
2024-11-29 14:54:29.533900,elbow,331,
2024-11-29 14:54:29.548018,elbow,332,
2024-11-29 14:54:29.561828,elbow,334,
2024-11-29 14:54:29.575155,elbow,335,
2024-11-29 14:54:29.596404,elbow,338,
2024-11-29 14:54:29.611459,elbow,339,
2024-11-29 14:54:29.633381,elbow,341,
2024-11-29 14:54:29.661643,elbow,342,
2024-11-29 14:54:29.688220,elbow,343,
2024-11-29 14:54:29.703760,elbow,345,
2024-11-29 14:54:29.725838,elbow,346,
2024-11-29 14:54:29.741371,elbow,349,
2024-11-29 14:54:29.760735,elbow,350,
2024-11-29 14:54:29.774450,elbow,352,
2024-11-29 14:54:29.796944,elbow,353,
2024-11-29 14:54:29.815145,elbow,354,
2024-11-29 14:54:29.829025,elbow,356,
2024-11-29 14:54:29.842888,elbow,358,
2024-11-29 14:54:29.863670,elbow,360,
2024-11-29 14:54:29.879720,elbow,361,
2024-11-29 14:54:29.905868,elbow,363,
2024-11-29 14:54:29.924885,elbow,364,
2024-11-29 14:54:29.948080,elbow,365,
2024-11-29 14:54:29.972690,elbow,368,
2024-11-29 14:54:29.997340,elbow,369,
2024-11-29 14:54:30.012833,elbow,371,
2024-11-29 14:54:30.026801,elbow,372,
2024-11-29 14:54:30.049568,elbow,373,
2024-11-29 14:54:30.065131,elbow,375,
2024-11-29 14:54:30.080146,elbow,378,
2024-11-29 14:54:30.101482,elbow,379,
2024-11-29 14:54:30.125521,elbow,380,
2024-11-29 14:54:30.141065,elbow,382,
2024-11-29 14:54:30.156005,elbow,383,
2024-11-29 14:54:30.169660,elbow,384,
2024-11-29 14:54:30.183378,elbow,387,
2024-11-29 14:54:30.204900,elbow,389,
2024-11-29 14:54:30.219977,elbow,390,
2024-11-29 14:54:30.234114,elbow,391,
2024-11-29 14:54:30.251540,elbow,393,
2024-11-29 14:54:30.266489,elbow,394,
2024-11-29 14:54:30.281386,elbow,397,
2024-11-29 14:54:30.304266,elbow,398,
2024-11-29 14:54:30.319412,elbow,399,
2024-11-29 14:54:30.334422,elbow,401,
2024-11-29 14:54:30.348433,elbow,402,
2024-11-29 14:54:30.362036,elbow,404,
2024-11-29 14:54:30.375360,elbow,406,
2024-11-29 14:54:30.396555,elbow,408,
2024-11-29 14:54:30.411241,elbow,409,
2024-11-29 14:54:30.425629,elbow,412,
2024-11-29 14:54:30.439272,elbow,413,
2024-11-29 14:54:30.452643,elbow,416,
2024-11-29 14:54:30.466411,elbow,417,
2024-11-29 14:54:30.481329,elbow,419,
2024-11-29 14:54:30.495300,elbow,420,
2024-11-29 14:54:30.518372,elbow,421,
2024-11-29 14:54:30.541881,elbow,423,
2024-11-29 14:54:30.570963,elbow,425,
2024-11-29 14:54:30.597437,elbow,427,
2024-11-29 14:54:30.625554,elbow,428,
2024-11-29 14:54:30.661909,elbow,430,
2024-11-29 14:54:38.145767,claw,349,
2024-11-29 14:54:38.327556,claw,350,
2024-11-29 14:54:38.350221,claw,346,
2024-11-29 14:54:38.366974,claw,345,
2024-11-29 14:54:38.379664,claw,343,
2024-11-29 14:54:38.392842,claw,339,
2024-11-29 14:54:38.412329,claw,337,
2024-11-29 14:54:38.424878,claw,334,
2024-11-29 14:54:38.436986,claw,332,
2024-11-29 14:54:38.448928,claw,327,
2024-11-29 14:54:38.460553,claw,324,
2024-11-29 14:54:38.471996,claw,319,
2024-11-29 14:54:38.483707,claw,315,
2024-11-29 14:54:38.495294,claw,312,
2024-11-29 14:54:38.506867,claw,311,
2024-11-29 14:54:38.525923,claw,309,
2024-11-29 14:54:38.579214,claw,311,
2024-11-29 14:54:38.603587,claw,312,
2024-11-29 14:54:38.623598,claw,313,
2024-11-29 14:54:38.636286,claw,316,
2024-11-29 14:54:38.648751,claw,317,
2024-11-29 14:54:38.660797,claw,320,
2024-11-29 14:54:38.672672,claw,322,
2024-11-29 14:54:38.684321,claw,327,
2024-11-29 14:54:38.704247,claw,328,
2024-11-29 14:54:38.716912,claw,331,
2024-11-29 14:54:38.729357,claw,337,
2024-11-29 14:54:38.740467,claw,338,
2024-11-29 14:54:38.752932,claw,343,
2024-11-29 14:54:38.764887,claw,346,
2024-11-29 14:54:38.776066,claw,353,
2024-11-29 14:54:38.788469,claw,356,
2024-11-29 14:54:38.799787,claw,363,
2024-11-29 14:54:38.818165,claw,365,
2024-11-29 14:54:38.831017,claw,375,
2024-11-29 14:54:39.326792,claw,368,
2024-11-29 14:54:39.354293,claw,346,
2024-11-29 14:54:39.373843,claw,338,
2024-11-29 14:54:39.389156,claw,332,
2024-11-29 14:54:39.401465,claw,323,
2024-11-29 14:54:39.421706,claw,319,
2024-11-29 14:54:39.433996,claw,315,
2024-11-29 14:54:39.445747,claw,309,
2024-11-29 14:54:39.457752,claw,300,
2024-11-29 14:54:39.468441,claw,296,
2024-11-29 14:54:39.480640,claw,294,
2024-11-29 14:54:39.491558,claw,291,
2024-11-29 14:54:39.511702,claw,287,
2024-11-29 14:54:39.523322,claw,285,
2024-11-29 14:54:39.534900,claw,283,
